Time,EcoregionName,EcoregionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_Leaf,C_FRoot,C_Wood,C_CRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,StreamC,StreamN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, BS1, 1, 1268, 0, 761.9, 21.4, 0, 0, 0, 0, 3.21, 78.9, 0, 0, 0, 10.2, 2.1, 0.2, 0, 0, 0, 0, 0, 71.2, 95.6, 295.6, 299.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.8, 9.6, 48.3, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0.87, 0, 0.01, 0, 0, 0, 0, 78.9, 0, 0, 
0, BS2, 2, 1621, 0, 767.1, 3.2, 0, 0, 0, 0, 3.06, 80, 0, 0, 0, 1.6, 0.3, 0, 0, 0, 0, 0, 0, 73.2, 97.9, 296.2, 299.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.9, 9.8, 49.2, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0.2, 0, 0, 0, 0, 0, 0, 79.9, 0, 0, 
0, BS3, 3, 280318, 0, 657.2, 260.1, 0, 0, 0, 0, 3.54, 59.2, 0, 0.2, 0.1, 123.6, 25.1, 1.8, 0.5, 0, 0, 0, 0, 35.6, 57.3, 268.2, 296.2, 0, 0, 0.3, 0.1, 0, 0, 0, 0, 0, 0, 1.4, 5.8, 33, 15, 0, 0, 0, 0, 0, 0.1, 0, 0, 0.03, 0, 0, 0, 0, 0, 0, 58.7, 0, 0, 
0, BS4, 4, 236621, 0, 662.8, 404.3, 0, 0, 0, 0, 3.07, 54.2, 0, 0.5, 0.1, 191.8, 39.1, 3.3, 0.8, 0, 0, 0, 0, 30.3, 52.6, 285.3, 294.6, 0, 0, 0.5, 0.2, 0, 0, 0, 0, 0, 0, 1.1, 5.3, 29, 15, 0, 0, 0, 0, 0, 0.1, 0, 0, 0.03, 0, 0, 0, 0, 0, 0, 53.5, 0, 0, 
0, BS5, 5, 44658, 0, 672.9, 244.7, 0, 0, 0, 0, 3.23, 60.9, 0, 0.4, 0.1, 116.1, 23.6, 1.9, 0.5, 0, 0, 0, 0, 40.1, 62.3, 274.1, 296.4, 0, 0, 0.3, 0.1, 0, 0, 0, 0, 0, 0, 1.5, 6.3, 34.4, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0.11, 0, 0, 0, 0, 0, 0, 60.5, 0, 0, 
0, BS6, 6, 713, 0, 681.1, 228.5, 0, 0, 0, 0.1, 3.43, 63.4, 0, 0.6, 0.2, 108.1, 22.2, 1.9, 0.5, 0, 0, 0, 0, 40.5, 63.1, 280, 297.5, 0, 0, 0.3, 0.1, 0, 0, 0, 0, 0, 0, 1.6, 6.4, 36.6, 15, 0, 0, 0, 0, 0, 0.1, 0.1, 0, 2.2, 0, 0.02, 0, 0, 0, 0, 63, 0, 0, 
0, BS7, 7, 5845, 0, 745.3, 40.3, 0, 0, 0, 0, 3.54, 76.7, 0, 0.1, 0, 19.1, 4, 0.3, 0.1, 0, 0, 0, 0, 66.2, 90.1, 289.7, 299.2, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 2.6, 9, 46.4, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0.29, 0, 0, 0, 0, 0, 0, 76.7, 0, 0, 
0, BS8, 8, 5963, 0, 738, 32.5, 0, 0, 0, 0, 3.01, 75.3, 0, 0, 0, 15.5, 3.1, 0.2, 0.1, 0, 0, 0, 0, 65.9, 89.3, 283.8, 299, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.6, 8.9, 45.7, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0.34, 0, 0, 0, 0, 0, 0, 75.3, 0, 0, 
0, BS9, 9, 38501, 0, 698.3, 83.9, 0, 0, 0, 0, 3.22, 69.1, 0, 0, 0, 39.9, 8.1, 0.6, 0.1, 0, 0, 0, 0, 55.1, 77.1, 268.2, 297.9, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 2.2, 7.8, 40.8, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0.11, 0, 0, 0, 0, 0, 0, 68.9, 0, 0, 
0, BS10, 10, 8198, 0, 723.7, 47.3, 0, 0, 0, 0, 3.43, 73.8, 0, 0, 0, 22.5, 4.5, 0.3, 0.1, 0, 0, 0, 0, 61.7, 84.8, 278.4, 298.9, 0, 0, 0.1, 0, 0, 0, 0, 0, 0, 0, 2.5, 8.5, 44.3, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0.22, 0, 0, 0, 0, 0, 0, 73.7, 0, 0, 
