Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
1990, BS1, 1, 75.95, 17.4, 0, 320, 0, 
1991, BS1, 1, 27.8, 18.46, 0, 322, 0, 
1992, BS1, 1, 34.95, 13.33, 0, 342, 0, 
1993, BS1, 1, 37.96, 13.27, 0, 365, 0, 
1994, BS1, 1, 57.42, 15.58, 0, 309, 0, 
1995, BS1, 1, 56.47, 13.53, 0, 333, 0, 
1996, BS1, 1, 54.36, 13.14, 0, 365, 0, 
1997, BS1, 1, 63.67, 17.96, 0, 311, 0, 
1998, BS1, 1, 99.84, 13.93, 0, 307, 0, 
1999, BS1, 1, 83.72, 13.75, 0, 365, 0, 
2000, BS1, 1, 87.02, 16.27, 0, 323, 0, 
2001, BS1, 1, 70.4, 13.81, 0, 365, 0, 
2002, BS1, 1, 86.61, 13.02, 0, 365, 0, 
2003, BS1, 1, 105.65, 17.32, 0, 315, 0, 
2004, BS1, 1, 85.02, 17.92, 0, 322, 0, 
2005, BS1, 1, 27.8, 18.46, 0, 327, 0, 
2006, BS1, 1, 119.12, 13.26, 0, 345, 0, 
2007, BS1, 1, 38.13, 15.18, 0, 314, 0, 
2008, BS1, 1, 43.22, 18.64, 0, 307, 0, 
2009, BS1, 1, 87.02, 16.27, 0, 324, 0, 
2010, BS1, 1, 86.87, 16.55, 0, 300, 0, 
2011, BS1, 1, 90.77, 17.28, 0, 224, 0, 
2012, BS1, 1, 64.8, 16.91, 0, 310, 0, 
1990, BS2, 2, 87.38, 16.7, 0, 322, 0, 
1991, BS2, 2, 32.69, 17.82, 0, 322, 0, 
1992, BS2, 2, 41.32, 13.24, 0, 332, 0, 
1993, BS2, 2, 43.91, 13.34, 0, 365, 0, 
1994, BS2, 2, 64.18, 14.96, 0, 365, 0, 
1995, BS2, 2, 63.9, 13.51, 0, 337, 0, 
1996, BS2, 2, 68.51, 13.32, 0, 365, 0, 
1997, BS2, 2, 71.45, 17.31, 0, 365, 0, 
1998, BS2, 2, 119.71, 13.26, 0, 309, 0, 
1999, BS2, 2, 102.23, 13.79, 0, 365, 0, 
2000, BS2, 2, 101.78, 15.64, 0, 323, 0, 
2001, BS2, 2, 81.01, 13.86, 0, 365, 0, 
2002, BS2, 2, 103.41, 13.01, 0, 320, 0, 
2003, BS2, 2, 124.71, 16.68, 0, 365, 0, 
2004, BS2, 2, 101.74, 17.32, 0, 322, 0, 
2005, BS2, 2, 32.69, 17.82, 0, 325, 0, 
2006, BS2, 2, 140.61, 13.12, 0, 331, 0, 
2007, BS2, 2, 47.02, 14.55, 0, 316, 0, 
2008, BS2, 2, 53.2, 17.94, 0, 301, 0, 
2009, BS2, 2, 101.78, 15.64, 0, 323, 0, 
2010, BS2, 2, 105.94, 15.96, 0, 313, 0, 
2011, BS2, 2, 101.94, 16.56, 0, 305, 0, 
2012, BS2, 2, 71.77, 16.33, 0, 365, 0, 
1990, BS3, 3, 88.04, 16, 0, 314, 0, 
1991, BS3, 3, 32.87, 17.11, 0, 329, 0, 
1992, BS3, 3, 63.72, 13.51, 0, 321, 0, 
1993, BS3, 3, 61.55, 13.57, 0, 365, 0, 
1994, BS3, 3, 65.98, 14.24, 0, 365, 0, 
1995, BS3, 3, 97.76, 13.7, 0, 329, 0, 
1996, BS3, 3, 101.05, 13.62, 0, 365, 0, 
1997, BS3, 3, 73.01, 16.61, 0, 365, 0, 
1998, BS3, 3, 120.65, 12.55, 0, 312, 0, 
1999, BS3, 3, 154.01, 14.02, 0, 365, 0, 
2000, BS3, 3, 103.25, 14.92, 0, 327, 0, 
2001, BS3, 3, 116.11, 14.14, 0, 316, 0, 
2002, BS3, 3, 148.73, 13.09, 0, 315, 0, 
2003, BS3, 3, 126.46, 15.98, 0, 319, 0, 
2004, BS3, 3, 103.38, 16.62, 0, 321, 0, 
2005, BS3, 3, 32.87, 17.11, 0, 327, 0, 
2006, BS3, 3, 196.78, 13.15, 0, 323, 0, 
2007, BS3, 3, 47.64, 13.84, 0, 365, 0, 
2008, BS3, 3, 53.01, 17.25, 0, 304, 0, 
2009, BS3, 3, 103.25, 14.92, 0, 324, 0, 
2010, BS3, 3, 107.27, 15.26, 0, 316, 0, 
2011, BS3, 3, 104.08, 15.87, 0, 312, 0, 
2012, BS3, 3, 73.83, 15.61, 0, 317, 0, 
1990, BS4, 4, 98.62, 16.12, 0, 316, 0, 
1991, BS4, 4, 37.18, 17.22, 0, 329, 0, 
1992, BS4, 4, 58.66, 13.68, 0, 327, 0, 
1993, BS4, 4, 57.84, 13.68, 0, 365, 0, 
1994, BS4, 4, 73.87, 14.36, 0, 365, 0, 
1995, BS4, 4, 88.83, 13.86, 0, 332, 0, 
1996, BS4, 4, 93.32, 13.75, 0, 365, 0, 
1997, BS4, 4, 81.45, 16.75, 0, 319, 0, 
1998, BS4, 4, 135.75, 12.66, 0, 311, 0, 
1999, BS4, 4, 142.07, 14.23, 0, 365, 0, 
2000, BS4, 4, 114.27, 15.05, 0, 332, 0, 
2001, BS4, 4, 109.81, 14.38, 0, 365, 0, 
2002, BS4, 4, 138.21, 13.26, 0, 365, 0, 
2003, BS4, 4, 140.94, 16.08, 0, 320, 0, 
2004, BS4, 4, 114.28, 16.73, 0, 321, 0, 
2005, BS4, 4, 37.18, 17.22, 0, 321, 0, 
2006, BS4, 4, 183.77, 13.39, 0, 326, 0, 
2007, BS4, 4, 52.66, 13.95, 0, 365, 0, 
2008, BS4, 4, 59.45, 17.38, 0, 307, 0, 
2009, BS4, 4, 114.27, 15.05, 0, 328, 0, 
2010, BS4, 4, 119.05, 15.35, 0, 312, 0, 
2011, BS4, 4, 116.64, 16, 0, 308, 0, 
2012, BS4, 4, 81.58, 15.73, 0, 365, 0, 
1990, BS5, 5, 87.51, 16.36, 0, 312, 0, 
1991, BS5, 5, 32.79, 17.39, 0, 322, 0, 
1992, BS5, 5, 66.31, 13.79, 0, 331, 0, 
1993, BS5, 5, 63.32, 13.69, 0, 365, 0, 
1994, BS5, 5, 68.69, 14.49, 0, 365, 0, 
1995, BS5, 5, 101.19, 13.85, 0, 333, 0, 
1996, BS5, 5, 96.29, 13.69, 0, 365, 0, 
1997, BS5, 5, 74.6, 16.93, 0, 315, 0, 
1998, BS5, 5, 117.35, 12.83, 0, 312, 0, 
1999, BS5, 5, 148.63, 14.27, 0, 365, 0, 
2000, BS5, 5, 99.03, 15.2, 0, 327, 0, 
2001, BS5, 5, 120.56, 14.43, 0, 365, 0, 
2002, BS5, 5, 149, 13.3, 0, 365, 0, 
2003, BS5, 5, 123.74, 16.23, 0, 313, 0, 
2004, BS5, 5, 99.19, 16.84, 16, 323, 0, 
2005, BS5, 5, 32.79, 17.39, 0, 326, 0, 
2006, BS5, 5, 196.29, 13.48, 0, 331, 0, 
2007, BS5, 5, 43.46, 14.1, 0, 318, 0, 
2008, BS5, 5, 49.09, 17.6, 0, 309, 0, 
2009, BS5, 5, 99.03, 15.2, 0, 328, 0, 
2010, BS5, 5, 100.42, 15.43, 0, 311, 0, 
2011, BS5, 5, 106.84, 16.27, 0, 305, 0, 
2012, BS5, 5, 75.06, 15.83, 0, 316, 0, 
1990, BS6, 6, 77.55, 16.12, 0, 332, 0, 
1991, BS6, 6, 29.02, 17.2, 0, 327, 0, 
1992, BS6, 6, 72.36, 13.14, 0, 323, 0, 
1993, BS6, 6, 66.06, 12.86, 0, 365, 0, 
1994, BS6, 6, 59.19, 14.31, 0, 365, 0, 
1995, BS6, 6, 103.03, 13.37, 0, 325, 0, 
1996, BS6, 6, 109.85, 13.09, 0, 340, 0, 
1997, BS6, 6, 65.29, 16.68, 0, 365, 0, 
1998, BS6, 6, 107.06, 12.66, 0, 319, 0, 
1999, BS6, 6, 166.24, 13.36, 0, 347, 0, 
2000, BS6, 6, 92.62, 14.98, 0, 338, 0, 
2001, BS6, 6, 124.08, 13.55, 0, 309, 0, 
2002, BS6, 6, 149, 12.38, 0, 306, 0, 
2003, BS6, 6, 111.68, 16.08, 0, 365, 0, 
2004, BS6, 6, 91.46, 16.68, 0, 326, 0, 
2005, BS6, 6, 29.02, 17.2, 0, 331, 0, 
2006, BS6, 6, 212.64, 12.3, 0, 287, 0, 
2007, BS6, 6, 42.32, 13.94, 0, 365, 0, 
2008, BS6, 6, 46.5, 17.37, 0, 312, 0, 
2009, BS6, 6, 92.62, 14.98, 0, 335, 0, 
2010, BS6, 6, 95.51, 15.35, 0, 365, 0, 
2011, BS6, 6, 93.11, 15.96, 0, 315, 0, 
2012, BS6, 6, 66.63, 15.67, 0, 365, 0, 
1990, BS7, 7, 62.55, 17.17, 0, 328, 0, 
1991, BS7, 7, 22.93, 18.22, 0, 324, 0, 
1992, BS7, 7, 37.3, 13.49, 0, 350, 0, 
1993, BS7, 7, 40.12, 13.49, 0, 365, 0, 
1994, BS7, 7, 46.57, 15.3, 0, 365, 0, 
1995, BS7, 7, 58.06, 13.64, 0, 338, 0, 
1996, BS7, 7, 53.95, 13.25, 0, 365, 0, 
1997, BS7, 7, 52.54, 17.68, 0, 320, 0, 
1998, BS7, 7, 78.59, 13.73, 0, 317, 0, 
1999, BS7, 7, 81.84, 13.88, 0, 365, 0, 
2000, BS7, 7, 71.17, 16, 0, 341, 0, 
2001, BS7, 7, 71.45, 13.94, 0, 365, 0, 
2002, BS7, 7, 90.95, 13.18, 0, 365, 0, 
2003, BS7, 7, 86.99, 17.1, 0, 318, 0, 
2004, BS7, 7, 70.15, 17.63, 0, 323, 0, 
2005, BS7, 7, 22.93, 18.22, 0, 326, 0, 
2006, BS7, 7, 124.53, 13.46, 0, 340, 0, 
2007, BS7, 7, 31.68, 14.93, 0, 365, 0, 
2008, BS7, 7, 34.49, 18.38, 0, 315, 0, 
2009, BS7, 7, 71.17, 16, 0, 333, 0, 
2010, BS7, 7, 70.83, 16.32, 0, 335, 0, 
