FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
82.75,5.25,48,250,1,Spring,All
88.11,7.17,29,250,1,Spring,All
87.69,8.84,40,270,1,Spring,All
83.91,11.81,40,180,1,Spring,All
88.46,18.5,16,180,1,Spring,All
84.42,3.39,45,230,1,Spring,All
90.43,23.11,32,250,1,Summer,All
86.58,19.39,23,180,1,Summer,All
86.74,27.81,24,230,2,Summer,All
88.63,27.09,19,230,2,Summer,All
89.74,15.29,16,250,1,Summer,All
92.51,21.38,40,270,1,Summer,All
86.11,22.86,23,50,1,Summer,All
87.01,22.53,26,250,1,Summer,All
88.14,23.36,14,250,1,Summer,All
89.2,31.23,13,180,2,Summer,All
89.29,33.61,23,230,2,Summer,All
83.64,6.45,40,160,1,Summer,All
88.86,14.35,23,200,1,Summer,All
88.8,13.53,29,180,1,Summer,All
86.28,17.67,24,230,1,Summer,All
86.91,20.53,19,200,1,Summer,All
85.63,22.42,27,180,1,Summer,All
86.95,24.75,23,290,2,Summer,All
89.56,28.13,23,250,2,Summer,All
86.47,26.26,26,250,2,Summer,All
86.51,17.59,24,70,1,Summer,All
87.82,13.71,29,250,1,Summer,All
87.87,16.32,35,290,1,Summer,All
87.73,21.56,24,250,1,Summer,All
87.83,26.74,11,90,2,Summer,All
89.36,30.57,16,250,2,Summer,All
89.41,33.41,19,270,2,Summer,All
87.16,34.65,24,340,2,Summer,All
87.55,38.88,24,250,3,Summer,All
87.6,41.29,27,250,3,Summer,All
85.74,28.68,18,200,2,Summer,All
86.89,30.59,19,290,2,Summer,All
85.59,34.67,32,290,2,Summer,All
86.31,36.11,26,270,3,Summer,All
84.34,19.05,32,200,1,Summer,All
85.37,20.55,37,270,1,Summer,All
85.42,22.39,29,200,1,Summer,All
85.47,24.33,43,230,2,Summer,All
88.14,23.09,24,250,1,Summer,All
87.16,24.63,23,250,2,Summer,All
90.77,9.74,35,180,1,Spring,All
88.74,11.42,24,270,1,Spring,All
85.19,14.77,26,200,1,Spring,All
88.39,17.22,19,290,1,Spring,All
87.68,18.9,40,250,1,Spring,All
89.23,20.52,29,290,1,Spring,All
89.61,22.15,14,340,1,Spring,All
89.12,23.43,16,290,1,Spring,All
86.53,24.26,32,340,2,Spring,All
87.91,25.86,29,290,2,Spring,All
91.09,16.09,24,230,1,Spring,All
89.66,15.42,39,290,1,Spring,All
88.71,16.95,26,340,1,Spring,All
88.23,21.33,23,50,1,Spring,All
88.64,23.64,19,70,2,Spring,All
89.32,31.23,13,90,2,Spring,All
